,type,speaker,content,side,icon,condition,condition_setting
0,เวอร์ชั่นเนื้อเรื่อง,,0.0.10,,,,
1,info_,,https://storage.googleapis.com/ancestral-lens.appspot.com/Page15.png,,,delay,
2,chat,เครื่อง TMC,ท่านอยู่ในปี พ.ศ.2094 เชียงใหม่ตกเป็นเมืองขึ้นของพม่า วัดเชียงมั่นถูกทิ้ง กลายเป็นวัดร้าง,left,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_005147.png,pressed,
3,chat,คุณ,ตกใจหมด! ,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
4,chat,คุณ,เครื่องนี้พูดได้ด้วยเหรอ? ไม่เห็นเคยได้ยิน,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
5,chat,คุณ,สิ่งปลูกสร้างที่นี่ ส่วนใหญ่สร้างด้วยไม้,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
6,chat,คุณ,ต่างจากปัจจุบันมาก ที่วิหารดูใหญ่โตไปหมด,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
7,chat,เครื่อง TMC,ใช่มั้ยละ!,left,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_005147.png,delay,
8,chat,เครื่อง TMC,จนถึง พ.ศ.2101เจ้าฟ้ามังทรา หรือสมเด็จพระมหาธัมมิกะราชาธิราช แห่งพม่า,left,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_005147.png,delay,
9,chat,เครื่อง TMC,ทรงศรัทธาในพระพุทธศาสนา โปรดให้พระญาแสนหลวงสร้างเจดีย์ วิหาร อุโบสถ หอไตร ธัมมเสนาสนะกำแพง และประตูโขงขึ้น ที่วัดเชียงมั่นเป็นครั้งที่สอง,left,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_005147.png,pressed,
10,chat,คุณ,เเล้วมีใครเป็นเจ้าอาวาสละ?,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
11,chat,เครื่อง TMC,พระมหาหินทาทิจจวังสะ เป็นเจ้าอาวาส,left,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_005147.png,delay,
12,chat,เครื่อง TMC,เมื่อถึงสมัยพระญากาวิละครองเมืองเชียงใหม่ พ.ศ.2324 – 2358 จึงได้บูรณะวัดเชียงมั่นใหม่อีกครั้ง ไม่เเปลกเลยที่รูปลักษณ์จะไม่เหมือนกัน,left,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_005147.png,pressed,
13,chat,คุณ,ถึงว่าดูแล้วนึกถึงศิลปะของพม่า,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
14,chat,คุณ,เครื่องนี้ฉลาดจริง ๆ ไม่เเปลกเลยที่ใครๆก็อยากเป็นเจ้าของ,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
15,chat,คุณ,เเต่เสียตรงที่หน้าตาไม่ดี สู้เราก็ไม่ได้,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
16,info,,มีบางอย่างพุ่งออกมาจากหลังต้นไม้,,,delay,
17,info_,,https://storage.googleapis.com/ancestral-lens.appspot.com/83198853_511992682778744_5195114315786485760_n.png,left,,delay,
18,chat,คนเเปลกหน้า,ว่าใครหน้าตาไม่ดีนะ!,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B9.png,pressed,
19,chat,คุณ,เฮ้ย!!! กลางวันเเสก ๆ ผีออกมาได้ด้วย!?,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
20,chat,คนเเปลกหน้า,อุ๊ป ฮ่าๆๆ กลั้นขำไม่อยู่แล้ว,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B9.png,delay,
21,chat,คนเเปลกหน้า,ไง พ่อคนฉลาด นายคือคนที่ไปนั่งอ่านเเฟ้มคดีในห้องน้ำ ใช่มั้ยล่ะ ฮ่าๆๆ,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B9.png,pressed,
22,chat,คุณ,มีอะไรน่าขำกัน!,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
23,chat,คนเเปลกหน้า,ฉันอยากรู้จริง ๆ ว่าจมูกนายยังใช้ดมกลิ่นได้อยู่ไหม ,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B9.png,pressed,
24,chat,คุณ,เสียงคุ้น ๆ นะ หรือว่าเขาจะเป็น...,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,pressed,
25,chat,คุณ,คุณ! คนที่คุยกับตาลุงในห้องน้ำนี่,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
26,chat,คนเเปลกหน้า,หืมม,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B9.png,delay,
27,info,,เขายื่นหน้าหล่อ ๆ เข้ามาใกล้คุณ,,,delay,
28,chat,คนเเปลกหน้า,ฉันชื่อ ดาวเหนือ เรียกเหนือเฉย ๆ ก็ได้,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B9.png,delay,
29,chat,เหนือ,เเละนาย...,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B9.png,pressed,
30,chat,คุณ,ผม 408,right,https://storage.googleapis.com/ancestral-lens.appspot.com/CC_20200131_011018.png,delay,
31,chat,เหนือ,… หมายถึงชื่อ ไม่ใช่เลขหน่วย,left,https://storage.googleapis.com/ancestral-lens.appspot.com/%E0%B8%84%E0%B8%B9%E0%B9%88%E0%B8%AB%E0%B8%B9.png,pressed,
